MedianLatNorth,MedianLatSouth,MedianLatNorth_Smoothed,MedianLatSouth_Smoothed,times
23.70731092436975,-26.52975,23.357207923890975,-26.235259483892257,2008-10-01 12:00:00
23.70731092436975,-26.52975,22.474130180042533,-25.463577522698102,2009-01-01 00:00:00
20.28255364806867,-23.14651162790698,21.40830457124525,-24.371632618586805,2009-04-02 06:00:00
20.28255364806867,-23.14651162790698,20.596966504279777,-23.50528817182958,2009-07-02 12:00:00
20.28255364806867,-23.14651162790698,20.025595846673852,-22.880881390544594,2009-10-01 18:00:00
20.28255364806867,-23.14651162790698,19.410394120188638,-22.211514159434678,2010-01-01 00:00:00
17.862669245647968,-20.59483695652174,18.668349548757647,-21.417807389113324,2010-04-02 06:00:00
17.862669245647968,-20.59483695652174,18.088741095500477,-20.82341090622375,2010-07-02 12:00:00
17.862669245647968,-20.59483695652174,17.634560533544516,-20.42456985085301,2010-10-01 18:00:00
17.862669245647968,-20.59483695652174,17.08114718195636,-20.019095346520995,2011-01-01 00:00:00
15.63903792784459,-18.987972508591064,16.38972325148961,-19.535007278560773,2011-04-02 06:00:00
15.63903792784459,-18.987972508591064,15.851201802153199,-19.144246127724465,2011-07-02 12:00:00
15.63903792784459,-18.987972508591064,15.448348955338089,-18.794780004635935,2011-10-01 18:00:00
15.63903792784459,-18.987972508591064,14.985548828496926,-18.3106111882863,2012-01-01 00:00:00
13.819473684210527,-16.958260064784824,14.418218469951437,-17.677943415599447,2012-04-01 12:00:00
13.819473684210527,-16.958260064784824,13.985611353392432,-17.164311045428157,2012-07-02 00:00:00
13.819473684210527,-16.958260064784824,13.682315153772269,-16.728802023411156,2012-10-01 12:00:00
13.819473684210527,-16.958260064784824,13.359135972123148,-16.162682160586773,2013-01-01 00:00:00
12.58049189491336,-14.705756929637527,12.975460334367652,-15.45148622854353,2013-04-02 06:00:00
12.58049189491336,-14.705756929637527,12.68977906633819,-14.915388379844002,2013-07-02 12:00:00
12.58049189491336,-14.705756929637527,12.50576758503515,-14.57231543266738,2013-10-01 18:00:00
12.58049189491336,-14.705756929637527,12.33119027854616,-14.256473125991832,2014-01-01 00:00:00
11.910718492343936,-13.525468001741404,12.12939229887542,-13.900007590359698,2014-04-02 06:00:00
11.910718492343936,-13.525468001741404,11.971769405526372,-13.632110820067442,2014-07-02 12:00:00
11.910718492343936,-13.525468001741404,11.842790733985204,-13.43564801891804,2014-10-01 18:00:00
11.910718492343936,-13.525468001741404,11.676911699752427,-13.203411394648555,2015-01-01 00:00:00
11.232208994708994,-12.498306772908366,11.464871958248414,-12.900968424168143,2015-04-02 06:00:00
11.232208994708994,-12.498306772908366,11.294980980264793,-12.61740261731423,2015-07-02 12:00:00
11.232208994708994,-12.498306772908366,11.15935554622201,-12.26353780835968,2015-10-01 18:00:00
11.232208994708994,-12.498306772908366,10.998079202120925,-11.66861113179897,2016-01-01 00:00:00
10.648595505617978,-9.99925,10.809387411670691,-10.868698353400632,2016-04-01 12:00:00
10.648595505617978,-9.99925,10.700683210312953,-10.246193283635526,2016-07-02 00:00:00
10.648595505617978,-9.99925,10.72011057444131,-9.812619130849269,2016-10-01 12:00:00
10.648595505617978,-9.99925,10.8595516979521,-9.366203418187727,2017-01-01 00:00:00
11.083407079646019,-8.353623188405797,11.040393499031847,-8.851063999695954,2017-04-02 06:00:00
11.083407079646019,-8.353623188405797,11.074816889717633,-8.490687930064391,2017-07-02 12:00:00
11.083407079646019,-8.353623188405797,10.770931762700911,-8.3205178087728,2017-10-01 18:00:00
11.083407079646019,-8.353623188405797,9.986215896129945,-8.247768229102979,2018-01-01 00:00:00
7.691666666666667,-8.093150684931508,8.876454553192504,-8.19247054409325,2018-04-02 06:00:00
7.691666666666667,-8.093150684931508,8.04273236936507,-8.119890142143136,2018-07-02 12:00:00
7.691666666666667,-8.093150684931508,7.580484559278017,-7.955002314214301,2018-10-01 18:00:00
7.691666666666667,-8.093150684931508,7.271366062415529,-7.614154922028629,2019-01-01 00:00:00
6.578378378378377,-6.625,6.962116607707549,-7.140943109272932,2019-04-02 06:00:00
6.578378378378377,-6.625,6.677857224789398,-6.773747632583255,2019-07-02 12:00:00
6.578378378378377,-6.625,6.289959704603002,-6.531427625793691,2019-10-01 18:00:00
6.578378378378377,-6.625,5.60733594970488,-6.304010573199939,2020-01-01 00:00:00
3.753333333333333,-5.8100000000000005,4.693034865909129,-6.050107519082267,2020-04-01 12:00:00
3.753333333333333,-5.8100000000000005,4.027139690507673,-5.874436937397137,2020-07-02 00:00:00
3.753333333333333,-5.8100000000000005,3.6974365824336535,-5.791252963800284,2020-10-01 12:00:00
3.753333333333333,-5.8100000000000005,3.5390354315185264,-5.753638721983031,2021-01-01 00:00:00
